,PlayerId,Name,Team,Catcher,First Base,Second Base,Third Base,Shortstop,Left Field,Center Field,Right Field,Designated Hitter,H,AB,R,2B,3B,HR,XBH,RBI,BB,SB,AVG,OBP,SLG,H_zscore,AB_zscore,R_zscore,2B_zscore,3B_zscore,HR_zscore,XBH_zscore,RBI_zscore,BB_zscore,SB_zscore,AVG_zscore,OBP_zscore,SLG_zscore,Zscore
0,3280,Mike Trout,LAA,,,,,,,1.0,,,176.0,594.0,113.0,35.0,9.0,32.0,76.0,97.0,88.0,20.0,0.29600000000000004,0.39,0.547,1.418832330318704,1.034667698582106,2.6821947783400812,1.1658338143247573,2.3985015535127996,2.0622592052170403,2.3302774200394247,1.833476648645389,2.3620723695015067,0.9229823786368194,1.2075384161894116,1.8498747697428946,2.1873798478029007,23.455891230853837
1,1643,Andrew McCutchen,Pit,,,,,,,1.0,,,179.0,576.0,96.0,36.0,6.0,27.0,69.0,84.0,79.0,21.0,0.311,0.39899999999999997,0.535,1.5111641522483377,0.8632641997005172,1.7264365987521424,1.2904952572593977,1.2032349986060888,1.4481991750785694,1.8231283732704915,1.1862032282567823,1.882798960593725,1.0188069611364892,1.7883091050069406,2.119431031119845,1.977565947578809,19.839037988608137
2,2971,Giancarlo Stanton,Mia,,,,,,,,1.0,,155.0,562.0,92.0,33.0,1.0,40.0,74.0,106.0,93.0,9.0,0.276,0.381,0.552,0.7725095768112683,0.7299503672370592,1.5015523212020392,0.9165109284554765,-0.7888759262384291,3.0447552534385935,2.185377692391158,2.2815890166067323,2.628335374450274,-0.13108802885954832,0.43317749776603676,1.5803185083659426,2.274802306229606,17.428914887856212
3,3486,Paul Goldschmidt,Ari,,1.0,,,,,,,,173.0,582.0,102.0,48.0,2.0,29.0,79.0,101.0,90.0,15.0,0.297,0.391,0.536,1.3265005083890704,0.9203986993277133,2.063763015077297,2.786432572475083,-0.39045374126952553,1.6938231871339577,2.5476270115118247,2.0326377010726526,2.4685775714810134,0.44385946613847044,1.2462564621105783,1.8798254654514448,1.99505043926415,21.01429835816373
4,1697,Carlos Gomez,Mil,,,,,,,1.0,,,162.0,584.0,95.0,32.0,6.0,26.0,64.0,73.0,44.0,40.0,0.27699999999999997,0.34299999999999997,0.486,0.9879504946470802,0.9394435325367788,1.6702155293646166,0.7918494855208361,1.2032349986060888,1.3253871690508752,1.4608790541498247,0.6385103340818072,0.018957925952352336,2.839474028630215,0.4718955436872034,0.44219207144103356,1.120825854997101,13.910816022665813
5,897,Miguel Cabrera,Det,,1.0,,,,,,,1.0,176.0,554.0,94.0,42.0,1.0,29.0,72.0,109.0,63.0,2.0,0.318,0.386,0.5539999999999999,1.418832330318704,0.6537710344007975,1.6139944599770908,2.0384639148672403,-0.7888759262384291,1.6938231871339577,2.0404779647428914,2.43095980592718,1.030757344757669,-0.8018601063572369,2.059335426455122,1.7300719869086936,2.3097712896002855,17.429522712493966
6,961,Jose Bautista,Tor,,,,,,,,1.0,,150.0,541.0,100.0,28.0,0.0,34.0,62.0,94.0,97.0,7.0,0.27699999999999997,0.39,0.518,0.6186232069285454,0.5299796185418724,1.9513208763022456,0.29320371378227433,-1.1872981112073326,2.307883217272429,1.315979326501558,1.6841058593249414,2.841345778409288,-0.3227371938588879,0.4718955436872034,1.8498747697428946,1.6803295889280123,14.034506194355044
7,969,Edwin Encarnacion,Tor,,1.0,,,,,,,1.0,147.0,545.0,87.0,30.0,2.0,36.0,68.0,102.0,78.0,6.0,0.27,0.365,0.53,0.5262913849989118,0.5680692849600032,1.2204469742644102,0.5425265996515553,-0.39045374126952553,2.553507229327817,1.7506785094463582,2.0824279641794687,1.8295463596039716,-0.4185617763585577,0.2008692222390243,1.1011073770291389,1.890143489152104,13.45659887722468
8,5600,Jose Abreu,CWS,,1.0,,,,,,,1.0,171.0,597.0,78.0,31.0,1.0,34.0,66.0,100.0,55.0,3.0,0.28600000000000003,0.355,0.513,1.2649459604359812,1.063234948395704,0.7144573497766779,0.6671880425861957,-0.7888759262384291,2.307883217272429,1.6057787817980913,1.982847437965837,0.6047365368396409,-0.7060355238575671,0.8203579569777242,0.8016004199436364,1.5929071305013074,11.931026332397229
9,1139,Robinson Cano,Sea,,,1.0,,,,,,,182.0,597.0,87.0,39.0,1.0,19.0,59.0,90.0,63.0,8.0,0.305,0.375,0.469,1.6034959741779713,1.063234948395704,1.2204469742644102,1.664479586063319,-0.7888759262384291,0.4657031268570162,1.098629735029158,1.4849448068976778,1.030757344757669,-0.2269126113592181,1.5560008294799283,1.400614334114641,0.8235894963463043,12.396108618786153
10,3215,Anthony Rizzo,ChC,,1.0,,,,,,,,164.0,588.0,91.0,34.0,1.0,34.0,69.0,89.0,74.0,6.0,0.27899999999999997,0.369,0.514,1.0495050426001693,0.9775331989549096,1.4453312518145134,1.0411723713901169,-0.7888759262384291,2.307883217272429,1.8231283732704915,1.435154543790862,1.6165359556449574,-0.4185617763585577,0.5493316355295409,1.2209101598633396,1.6103916221866486,13.869439669720991
11,1452,Troy Tulowitzki,Col,,,,,1.0,,,,,145.0,462.0,88.0,25.0,1.0,27.0,53.0,75.0,65.0,2.0,0.314,0.401,0.5479999999999999,0.4647368370458227,-0.22229129321621147,1.276668043651936,-0.08078061502164696,-0.7888759262384291,1.4481991750785694,0.663930552084358,0.738090860295439,1.137262546737176,-0.8018601063572369,1.9044632427704469,2.1793324225369473,2.20486433948824,10.123740078855409
